30/05/2016,1199.39,1211.38,1205.385
31/05/2016,1207.66,1219.81,1213.735
01/06/2016,1212.19,1224.56,1218.375
02/06/2016,1209.81,1221.99,1215.9
03/06/2016,1206.14,1218.48,1212.31
04/06/2016,,,-1
05/06/2016,,,-1
06/06/2016,,,-1
07/06/2016,1239.41,1251.72,1245.565
08/06/2016,1244.13,1256.39,1250.26
09/06/2016,1257.2,1269.57,1263.385
10/06/2016,1262.7,1275.07,1268.885
11/06/2016,,,-1
12/06/2016,,,-1
13/06/2016,1274.7,1286.99,1280.845
14/06/2016,1276.17,1288.52,1282.345
15/06/2016,1279.53,1291.84,1285.685
16/06/2016,1299.31,1311.51,1305.41
17/06/2016,1278.56,1290.87,1284.715
18/06/2016,,,-1
19/06/2016,,,-1
20/06/2016,1280.66,1292.86,1286.76
21/06/2016,1282,1294.42,1288.21
22/06/2016,1263.21,1275.37,1269.29
23/06/2016,1261.14,1273.09,1267.115
24/06/2016,1301.23,1313.38,1307.305
25/06/2016,,,-1
26/06/2016,,,-1
27/06/2016,1323.76,1336,1329.88
28/06/2016,1313.94,1326.19,1320.065
29/06/2016,1315.11,1327.08,1321.095
30/06/2016,1311.64,1323.9,1317.77
01/07/2016,1325.67,1337.98,1331.825
02/07/2016,,,-1
03/07/2016,,,-1
04/07/2016,1343.78,1355.92,1349.85
05/07/2016,1340.87,1353.19,1347.03
06/07/2016,1363.39,1375.49,1369.44
07/07/2016,1363.19,1375.52,1369.355
08/07/2016,1353.3,1365.45,1359.375
09/07/2016,,,-1
10/07/2016,,,-1
11/07/2016,1360.99,1373.24,1367.115
12/07/2016,1351.06,1363.23,1357.145
13/07/2016,1333.35,1345.31,1339.33
14/07/2016,1332.65,1344.96,1338.805
15/07/2016,1327.08,1339.37,1333.225
16/07/2016,,,-1
17/07/2016,,,-1
18/07/2016,1324.5,1336.63,1330.565
19/07/2016,1325.63,1337.72,1331.675
20/07/2016,1325.6,1337.82,1331.71
21/07/2016,1312.19,1324.19,1318.19
22/07/2016,1324.65,1336.5,1330.575
23/07/2016,,,-1
24/07/2016,,,-1
